banana|10.00|18.00|22/05/2016|c006 
onion|3.70|48.10|22/05/2016|c006 
chocolate|20.00|91.00|22/05/2016|c006 
banana|10.00|18.00|22/05/2016|c006 
onion|3.70|48.10|22/05/2016|c006 
chocolate|20.00|91.00|22/05/2016|c006 
banana|500.00|900.00|22/05/2016|c006 
banana|20.00|36.00|23/05/2016|c007 
cucumber|40.00|180.00|23/05/2016|c007 
tomato|50.00|247.50|23/05/2016|c007 
banana|470.00|846.00|23/05/2016|c007 
cucumber|450.00|2025.00|23/05/2016|c007 
banana|410.00|738.00|23/05/2016|c007 
banana|100.00|180.00|23/05/2016|c007 
banana|300.00|540.00|23/05/2016|c007 
grapes|190.00|769.50|23/05/2016|c007 
grapes|150.00|607.50|23/05/2016|c007 
banana|390.00|702.00|23/05/2016|c007 
banana|400.00|720.00|23/05/2016|c007 
chocolate|140.00|637.00|23/05/2016|c007 
banana|400.00|720.00|23/05/2016|c007 
chocolate|100.00|455.00|23/05/2016|c007 
banana|500.00|900.00|23/05/2016|c006 
tuna|150.00|180.00|25/05/2016|c006 
grapes|2.10|7.35|25/05/2016|c006 
sugar|2.00|6.00|25/05/2016|c006 
onion|137.89|1687.77|25/05/2016|c006 
chocolate|100.00|455.00|25/05/2016|c006 
cucumber|1.37|6.85|25/05/2016|c006 
tomato|1.09|6.00|25/05/2016|c006 
soda|24.00|48.00|25/05/2016|c006 
banana|50.00|90.00|25/05/2016|c010 
chocolate|49.00|222.95|25/05/2016|c010 
